clave, nom, eta, value
c,ANGOSTURA,001,112557.39
c,ANGOSTURA,002,112428.168452
c,ANGOSTURA,003,112186.640557
c,ANGOSTURA,004,111928.432442
c,ANGOSTURA,005,111689.421745
c,ANGOSTURA,006,111453.357174
c,ANGOSTURA,007,111200.635025
c,ANGOSTURA,008,110942.899571
c,ANGOSTURA,009,110384.916267
c,ANGOSTURA,010,110255.694719
c,ANGOSTURA,011,110181.172293
c,ANGOSTURA,012,110256.630127
c,ANGOSTURA,013,110332.087961
c,ANGOSTURA,014,110407.545795
c,ANGOSTURA,015,110483.003629
c,ANGOSTURA,016,110558.461463
c,ANGOSTURA,017,110633.919297
c,ANGOSTURA,018,110709.377131
c,ANGOSTURA,019,110784.834965
c,ANGOSTURA,020,110860.292799
c,ANGOSTURA,021,110935.750633
c,ANGOSTURA,022,111011.208467
c,ANGOSTURA,023,111086.666301
c,ANGOSTURA,024,111162.124135
c,ANGOSTURA,025,111237.581969
c,ANGOSTURA,026,111145.477427
c,ANGOSTURA,027,111016.255879
c,ANGOSTURA,028,110887.034331
c,ANGOSTURA,029,110757.812783
c,ANGOSTURA,030,110536.288119
c,ANGOSTURA,031,110337.661971
c,ANGOSTURA,032,110166.317787
c,ANGOSTURA,033,110037.096239
c,ANGOSTURA,034,110112.554073
c,ANGOSTURA,035,110188.011907
c,ANGOSTURA,036,110263.469741
c,ANGOSTURA,037,110338.927575
c,ANGOSTURA,038,110414.385409
c,ANGOSTURA,039,110489.843243
c,ANGOSTURA,040,110565.301077
c,ANGOSTURA,041,110640.758911
c,ANGOSTURA,042,110716.216745
c,ANGOSTURA,043,110791.674579
c,ANGOSTURA,044,110867.132413
c,ANGOSTURA,045,110942.590247
c,ANGOSTURA,046,111018.048081
c,ANGOSTURA,047,111093.505915
c,ANGOSTURA,048,111168.963749
c,ANGOSTURA,049,111210.127606
c,ANGOSTURA,050,111099.999343
c,ANGOSTURA,051,110857.793009
c,ANGOSTURA,052,110635.363869
c,ANGOSTURA,053,110416.082527
c,ANGOSTURA,054,110163.847192
c,ANGOSTURA,055,109917.50088
c,ANGOSTURA,056,109656.092393
c,ANGOSTURA,057,109526.870845
c,ANGOSTURA,058,109103.409399
c,ANGOSTURA,059,108974.187851
c,ANGOSTURA,060,109049.645685
c,ANGOSTURA,061,109125.103519
c,ANGOSTURA,062,109200.561353
c,ANGOSTURA,063,109276.019187
c,ANGOSTURA,064,109351.477021
c,ANGOSTURA,065,109426.934855
c,ANGOSTURA,066,109502.392689
c,ANGOSTURA,067,109577.850523
c,ANGOSTURA,068,109653.308357
c,ANGOSTURA,069,109728.766191
c,ANGOSTURA,070,109804.224025
c,ANGOSTURA,071,109879.681859
c,ANGOSTURA,072,109955.139693
c,ANGOSTURA,073,109901.382346
c,ANGOSTURA,074,109769.800873
c,ANGOSTURA,075,109548.74961
c,ANGOSTURA,076,109336.362331
c,ANGOSTURA,077,109131.013274
c,ANGOSTURA,078,108909.671922
c,ANGOSTURA,079,108775.587527
c,ANGOSTURA,080,108851.045361
c,ANGOSTURA,081,108926.503195
c,ANGOSTURA,082,109001.961029
c,ANGOSTURA,083,109077.418863
c,ANGOSTURA,084,109152.876697
c,ANGOSTURA,085,109228.334531
c,ANGOSTURA,086,109303.792365
c,ANGOSTURA,087,109379.250199
c,ANGOSTURA,088,109454.708033
c,ANGOSTURA,089,109530.165867
c,ANGOSTURA,090,109605.623701
c,ANGOSTURA,091,109681.081535
c,ANGOSTURA,092,109756.539369
c,ANGOSTURA,093,109831.997203
c,ANGOSTURA,094,109907.455037
c,ANGOSTURA,095,109982.912871
c,ANGOSTURA,096,110058.370705
c,ANGOSTURA,097,110133.828539
c,ANGOSTURA,098,110126.144596
c,ANGOSTURA,099,109996.076629
c,ANGOSTURA,100,109860.635286
c,ANGOSTURA,101,109726.28558
c,ANGOSTURA,102,109596.938475
c,ANGOSTURA,103,109672.396309
c,ANGOSTURA,104,109747.854143
c,ANGOSTURA,105,109823.311977
c,ANGOSTURA,106,109898.769811
c,ANGOSTURA,107,109974.227645
c,ANGOSTURA,108,110049.685479
c,ANGOSTURA,109,110125.143313
c,ANGOSTURA,110,110200.601147
c,ANGOSTURA,111,110276.058981
c,ANGOSTURA,112,110351.516815
c,ANGOSTURA,113,110426.974649
c,ANGOSTURA,114,110502.432483
c,ANGOSTURA,115,110577.890317
c,ANGOSTURA,116,110653.348151
c,ANGOSTURA,117,110728.805985
c,ANGOSTURA,118,110804.263819
c,ANGOSTURA,119,110879.721653
c,ANGOSTURA,120,110955.179487
c,ANGOSTURA,121,111030.637321
c,ANGOSTURA,122,110921.002239
c,ANGOSTURA,123,110791.78069
c,ANGOSTURA,124,110660.135087
c,ANGOSTURA,125,110525.864748
c,ANGOSTURA,126,110396.344768
c,ANGOSTURA,127,110471.802602
c,ANGOSTURA,128,110547.260436
c,ANGOSTURA,129,110622.71827
c,ANGOSTURA,130,110698.176104
c,ANGOSTURA,131,110773.633938
c,ANGOSTURA,132,110849.091772
c,ANGOSTURA,133,110924.549606
c,ANGOSTURA,134,111000.00744
c,ANGOSTURA,135,111075.465274
c,ANGOSTURA,136,111150.923108
c,ANGOSTURA,137,111226.380942
c,ANGOSTURA,138,111301.838776
c,ANGOSTURA,139,111377.29661
c,ANGOSTURA,140,111452.754444
c,ANGOSTURA,141,111528.212278
c,ANGOSTURA,142,111603.670112
c,ANGOSTURA,143,111679.127946
c,ANGOSTURA,144,111754.58578
c,ANGOSTURA,145,111830.043614
c,ANGOSTURA,146,111729.495413
c,ANGOSTURA,147,111598.721428
c,ANGOSTURA,148,111465.677685
c,ANGOSTURA,149,111333.015123
c,ANGOSTURA,150,111199.148988
c,ANGOSTURA,151,111274.606822
c,ANGOSTURA,152,111350.064656
c,ANGOSTURA,153,111425.52249
c,ANGOSTURA,154,111500.980324
c,ANGOSTURA,155,111576.438158
c,ANGOSTURA,156,111651.895992
c,ANGOSTURA,157,111727.353826
c,ANGOSTURA,158,111802.81166
c,ANGOSTURA,159,111878.269494
c,ANGOSTURA,160,111953.727328
c,ANGOSTURA,161,112029.185162
c,ANGOSTURA,162,112104.642996
c,ANGOSTURA,163,112180.10083
c,ANGOSTURA,164,112255.558664
c,ANGOSTURA,165,112331.016498
c,ANGOSTURA,166,112406.474332
c,ANGOSTURA,167,112481.932166
c,ANGOSTURA,168,112557.39
c,CANUTILLAR,001,116557.28
c,CANUTILLAR,002,116632.16
c,CANUTILLAR,003,116707.04
c,CANUTILLAR,004,116781.92
c,CANUTILLAR,005,116856.8
c,CANUTILLAR,006,116931.68
