clave, nom, eta, value
c,ANGOSTURA,001,112557.39
c,ANGOSTURA,002,112557.39
c,ANGOSTURA,003,112323.209919
c,ANGOSTURA,004,111808.279824
c,ANGOSTURA,005,111290.078348
c,ANGOSTURA,006,110782.81985
c,ANGOSTURA,007,110485.848824
c,ANGOSTURA,008,110035.058635
c,ANGOSTURA,009,109569.698588
c,ANGOSTURA,010,109645.156422
c,ANGOSTURA,011,109720.614256
c,ANGOSTURA,012,109796.07209
c,ANGOSTURA,013,109871.529924
c,ANGOSTURA,014,109946.987758
c,ANGOSTURA,015,110022.445592
c,ANGOSTURA,016,110097.903426
c,ANGOSTURA,017,110173.36126
c,ANGOSTURA,018,110220.945807
c,ANGOSTURA,019,110296.403641
c,ANGOSTURA,020,110371.861475
c,ANGOSTURA,021,110447.319309
c,ANGOSTURA,022,110522.777143
c,ANGOSTURA,023,110598.234977
c,ANGOSTURA,024,110673.692811
c,ANGOSTURA,025,110749.150645
c,ANGOSTURA,026,110824.608479
c,ANGOSTURA,027,110900.066313
c,ANGOSTURA,028,110806.858594
c,ANGOSTURA,029,110689.409391
c,ANGOSTURA,030,110659.038914
c,ANGOSTURA,031,110600.941866
c,ANGOSTURA,032,110676.3997
c,ANGOSTURA,033,110696.213965
c,ANGOSTURA,034,110771.671799
c,ANGOSTURA,035,110847.129633
c,ANGOSTURA,036,110922.587467
c,ANGOSTURA,037,110998.045301
c,ANGOSTURA,038,111073.503135
c,ANGOSTURA,039,111148.960969
c,ANGOSTURA,040,111224.418803
c,ANGOSTURA,041,111299.876637
c,ANGOSTURA,042,111375.334471
c,ANGOSTURA,043,111450.792305
c,ANGOSTURA,044,111526.250139
c,ANGOSTURA,045,111601.707973
c,ANGOSTURA,046,111677.165807
c,ANGOSTURA,047,111752.623641
c,ANGOSTURA,048,111828.081475
c,ANGOSTURA,049,111903.539309
c,ANGOSTURA,050,111978.997143
c,ANGOSTURA,051,111880.035048
c,ANGOSTURA,052,111743.718653
c,ANGOSTURA,053,111684.545708
c,ANGOSTURA,054,111630.298003
c,ANGOSTURA,055,111589.35837
c,ANGOSTURA,056,111107.407401
c,ANGOSTURA,057,110591.379252
c,ANGOSTURA,058,110226.896894
c,ANGOSTURA,059,110134.645655
c,ANGOSTURA,060,110182.841596
c,ANGOSTURA,061,110231.702383
c,ANGOSTURA,062,110279.378633
c,ANGOSTURA,063,110324.860568
c,ANGOSTURA,064,110368.438064
c,ANGOSTURA,065,110416.859222
c,ANGOSTURA,066,110437.256364
c,ANGOSTURA,067,110460.247346
c,ANGOSTURA,068,110535.70518
c,ANGOSTURA,069,110611.163014
c,ANGOSTURA,070,110686.620848
c,ANGOSTURA,071,110762.078682
c,ANGOSTURA,072,110777.03197
c,ANGOSTURA,073,110837.073134
c,ANGOSTURA,074,110862.000511
c,ANGOSTURA,075,110777.126917
c,ANGOSTURA,076,110721.583695
c,ANGOSTURA,077,110687.782586
c,ANGOSTURA,078,110404.553699
c,ANGOSTURA,079,110480.011533
c,ANGOSTURA,080,110555.469367
c,ANGOSTURA,081,110630.927201
c,ANGOSTURA,082,110706.385035
c,ANGOSTURA,083,110781.842869
c,ANGOSTURA,084,110857.300703
c,ANGOSTURA,085,110932.758537
c,ANGOSTURA,086,111008.216371
c,ANGOSTURA,087,111083.674205
c,ANGOSTURA,088,111159.132039
c,ANGOSTURA,089,111234.589873
c,ANGOSTURA,090,111310.047707
c,ANGOSTURA,091,111385.50554
c,ANGOSTURA,092,111460.963374
c,ANGOSTURA,093,111536.421208
c,ANGOSTURA,094,111611.879042
c,ANGOSTURA,095,111687.336876
c,ANGOSTURA,096,111762.79471
c,ANGOSTURA,097,111802.54122
c,ANGOSTURA,098,111664.556602
c,ANGOSTURA,099,111530.307779
c,ANGOSTURA,100,111389.602231
c,ANGOSTURA,101,111245.982357
c,ANGOSTURA,102,111109.870493
c,ANGOSTURA,103,111139.033662
c,ANGOSTURA,104,111214.491496
