clave, nom, eta, value
c,ANGOSTURA,001,112557.39
c,ANGOSTURA,002,112428.168452
c,ANGOSTURA,003,112297.480281
c,ANGOSTURA,004,112037.521542
c,ANGOSTURA,005,111779.939174
c,ANGOSTURA,006,111542.73989
c,ANGOSTURA,007,111311.213547
c,ANGOSTURA,008,111054.43746
c,ANGOSTURA,009,110517.515648
c,ANGOSTURA,010,110294.026172
c,ANGOSTURA,011,110369.484006
c,ANGOSTURA,012,110444.94184
c,ANGOSTURA,013,110520.399674
c,ANGOSTURA,014,110595.857508
c,ANGOSTURA,015,110671.315342
c,ANGOSTURA,016,110746.773176
c,ANGOSTURA,017,110822.23101
c,ANGOSTURA,018,110897.688844
c,ANGOSTURA,019,110973.146678
c,ANGOSTURA,020,111048.604512
c,ANGOSTURA,021,111124.062346
c,ANGOSTURA,022,111199.52018
c,ANGOSTURA,023,111274.978014
c,ANGOSTURA,024,111325.739543
c,ANGOSTURA,025,111401.197377
c,ANGOSTURA,026,111476.655211
c,ANGOSTURA,027,111416.993152
c,ANGOSTURA,028,111264.161465
c,ANGOSTURA,029,111108.603824
c,ANGOSTURA,030,110953.011857
c,ANGOSTURA,031,110801.32882
c,ANGOSTURA,032,110876.786654
c,ANGOSTURA,033,110731.556268
c,ANGOSTURA,034,110807.014102
c,ANGOSTURA,035,110882.471936
c,ANGOSTURA,036,110957.92977
c,ANGOSTURA,037,111033.387603
c,ANGOSTURA,038,111108.845437
c,ANGOSTURA,039,111184.303271
c,ANGOSTURA,040,111259.761105
c,ANGOSTURA,041,111335.218939
c,ANGOSTURA,042,111410.676773
c,ANGOSTURA,043,111486.134607
c,ANGOSTURA,044,111561.592441
c,ANGOSTURA,045,111637.050275
c,ANGOSTURA,046,111712.508109
c,ANGOSTURA,047,111787.965943
c,ANGOSTURA,048,111863.423777
c,ANGOSTURA,049,111734.202229
c,ANGOSTURA,050,111604.980681
c,ANGOSTURA,051,111365.997861
c,ANGOSTURA,052,111104.259554
c,ANGOSTURA,053,110842.531121
c,ANGOSTURA,054,110592.99923
c,ANGOSTURA,055,110331.351144
c,ANGOSTURA,056,110071.588938
c,ANGOSTURA,057,109872.06696
c,ANGOSTURA,058,109469.805992
c,ANGOSTURA,059,109339.005634
c,ANGOSTURA,060,109414.463468
c,ANGOSTURA,061,109489.921302
c,ANGOSTURA,062,109565.379136
c,ANGOSTURA,063,109640.83697
c,ANGOSTURA,064,109716.294804
c,ANGOSTURA,065,109791.752638
c,ANGOSTURA,066,109867.210472
c,ANGOSTURA,067,109942.668306
c,ANGOSTURA,068,110018.12614
c,ANGOSTURA,069,110093.583974
c,ANGOSTURA,070,110169.041808
c,ANGOSTURA,071,110244.499642
c,ANGOSTURA,072,110319.957476
c,ANGOSTURA,073,110212.119987
c,ANGOSTURA,074,110077.749853
c,ANGOSTURA,075,109857.705721
c,ANGOSTURA,076,109646.776909
c,ANGOSTURA,077,109439.449593
c,ANGOSTURA,078,109220.288441
c,ANGOSTURA,079,109086.783395
c,ANGOSTURA,080,109162.241229
c,ANGOSTURA,081,109237.699063
c,ANGOSTURA,082,109313.156897
c,ANGOSTURA,083,109388.614731
c,ANGOSTURA,084,109464.072565
c,ANGOSTURA,085,109539.530399
c,ANGOSTURA,086,109614.988233
c,ANGOSTURA,087,109690.446067
c,ANGOSTURA,088,109765.903901
c,ANGOSTURA,089,109841.361735
c,ANGOSTURA,090,109916.819569
c,ANGOSTURA,091,109992.277403
c,ANGOSTURA,092,110067.735237
c,ANGOSTURA,093,110143.193071
c,ANGOSTURA,094,110218.650904
c,ANGOSTURA,095,110294.108738
c,ANGOSTURA,096,110369.566572
c,ANGOSTURA,097,110445.024406
c,ANGOSTURA,098,110314.901989
c,ANGOSTURA,099,110185.117929
c,ANGOSTURA,100,110048.690018
c,ANGOSTURA,101,109911.313465
c,ANGOSTURA,102,109779.398364
c,ANGOSTURA,103,109854.856198
c,ANGOSTURA,104,109930.314032
c,ANGOSTURA,105,110005.771866
c,ANGOSTURA,106,110081.229699
c,ANGOSTURA,107,110156.687533
c,ANGOSTURA,108,110232.145367
c,ANGOSTURA,109,110307.603201
c,ANGOSTURA,110,110383.061035
c,ANGOSTURA,111,110458.518869
c,ANGOSTURA,112,110533.976703
c,ANGOSTURA,113,110609.434537
c,ANGOSTURA,114,110684.892371
c,ANGOSTURA,115,110760.350205
c,ANGOSTURA,116,110835.808039
c,ANGOSTURA,117,110911.265873
c,ANGOSTURA,118,110986.723707
c,ANGOSTURA,119,111062.181541
c,ANGOSTURA,120,111137.639375
c,ANGOSTURA,121,111213.097209
c,ANGOSTURA,122,111072.369056
c,ANGOSTURA,123,110934.550206
c,ANGOSTURA,124,110792.235542
c,ANGOSTURA,125,110650.387203
c,ANGOSTURA,126,110513.539599
c,ANGOSTURA,127,110588.997433
c,ANGOSTURA,128,110664.455267
c,ANGOSTURA,129,110739.913101
c,ANGOSTURA,130,110815.370935
c,ANGOSTURA,131,110890.828769
c,ANGOSTURA,132,110966.286603
c,ANGOSTURA,133,111041.744437
c,ANGOSTURA,134,111117.202271
c,ANGOSTURA,135,111192.660105
c,ANGOSTURA,136,111268.117939
c,ANGOSTURA,137,111343.575773
c,ANGOSTURA,138,111419.033607
c,ANGOSTURA,139,111494.491441
c,ANGOSTURA,140,111569.949275
c,ANGOSTURA,141,111645.407109
c,ANGOSTURA,142,111720.864943
c,ANGOSTURA,143,111796.322776
c,ANGOSTURA,144,111871.78061
c,ANGOSTURA,145,111947.238444
c,ANGOSTURA,146,111809.70232
c,ANGOSTURA,147,111617.492665
c,ANGOSTURA,148,111476.933629
c,ANGOSTURA,149,111335.576732
c,ANGOSTURA,150,111199.148988
c,ANGOSTURA,151,111274.606822
c,ANGOSTURA,152,111350.064656
c,ANGOSTURA,153,111425.52249
c,ANGOSTURA,154,111500.980324
c,ANGOSTURA,155,111576.438158
c,ANGOSTURA,156,111651.895992
c,ANGOSTURA,157,111727.353826
c,ANGOSTURA,158,111802.81166
c,ANGOSTURA,159,111878.269494
c,ANGOSTURA,160,111953.727328
c,ANGOSTURA,161,112029.185162
c,ANGOSTURA,162,112104.642996
c,ANGOSTURA,163,112180.10083
c,ANGOSTURA,164,112255.558664
c,ANGOSTURA,165,112331.016498
c,ANGOSTURA,166,112406.474332
c,ANGOSTURA,167,112481.932166
c,ANGOSTURA,168,112557.39
c,CANUTILLAR,001,116557.28
c,CANUTILLAR,002,116632.16
c,CANUTILLAR,003,116707.04
c,CANUTILLAR,004,116781.92
c,CANUTILLAR,005,116856.8
c,CANUTILLAR,006,116931.68
