clave, nom, eta, value
theta,,001,-0.0290044730292
theta,,001,0.0183237512385
theta,,001,0.0448611817023
theta,,001,-0.0433745510445
theta,,001,0.0421730888995
theta,,001,0.00898660188512
theta,,001,-0.118119128647
theta,,001,-0.0761352362993
theta,,001,0.0708941901762
theta,,001,-0.0487203800939
theta,,001,-0.0194072568215
theta,,001,0.096413808359
theta,,001,-0.110657871933
theta,,001,0.0160897700578
theta,,001,-0.0260494487928
theta,,001,-0.000893886460948
theta,,001,-0.081541089264
theta,,001,-0.0440184042741
theta,,001,0.250667188332
theta,,001,-0.0884646360804
theta,,001,0.0124740092422
theta,,001,-0.0199332952606
theta,,001,0.00159084852939
theta,,001,0.0304892980228
theta,,001,0.011671669103
theta,,001,-0.0288299738597
theta,,001,0.00838612287691
theta,,001,0.0332705795465
theta,,001,0.0582730865041
theta,,001,0.299124580434
theta,,001,0.00426932753204
theta,,001,0.0633052220044
theta,,001,-0.0507560526693
theta,,001,0.0194558003943
theta,,001,0.000694993389124
theta,,001,0.017977171362
theta,,001,0.239623401469
theta,,001,0.0506806530433
theta,,001,0.0100583929198
theta,,001,-0.0360124039004
theta,,001,0.0397443605177
theta,,001,0.0312932830431
theta,,001,0.00118315589129
theta,,001,-0.000626511878778
theta,,001,0.0133295575483
theta,,001,-0.0425808880754
theta,,001,-0.00412302834116
theta,,001,0.0464120797799
theta,,001,-0.00713866940472
theta,,001,-0.0056519759787
theta,,001,-0.0286139182933
theta,,001,-0.00599706295176
theta,,001,-0.0478111019316
theta,,001,0.0091310523616
theta,,001,0.00556738205867
theta,,001,-0.000938320296231
theta,,001,-0.0267076552913
theta,,001,0.0283085633344
theta,,001,-0.0168580573017
theta,,001,0.00266433744257
theta,,001,0.0820458257772
theta,,001,-0.017977171362
theta,,001,-0.00550039118527
theta,,001,0.0288299738597
theta,,001,0.0552511741276
theta,,001,-0.00082665877944
theta,,001,-0.00033793117283
theta,,001,0.0284343519409
theta,,001,-0.00610521490846
theta,,001,-0.0352562148044
theta,,001,-0.00029337706481
theta,,001,0.0131275958514
theta,,001,8.56736155085e-05
theta,,001,-0.0554025292736
theta,,001,0.0686214916204
theta,,001,0.0294509324266
theta,,001,0.000974565112148
theta,,001,-0.0133420768523
theta,,001,0.0962767674386
theta,,001,0.0103638211943
theta,,001,0.050160602026
theta,,001,0.000126318276958
theta,,001,-0.0455993219475
theta,,001,0.10701240565
theta,,001,-0.0390494527784
theta,,001,0.00516934726621
theta,,001,-0.0954575405668
theta,,001,-0.333799857479
theta,,001,-0.0609035738971
theta,,001,-0.0443146217711
theta,,002,0.0517460762403
theta,,002,0.0664895313697
theta,,002,0.0466681547976
theta,,002,-0.00739621775322
theta,,002,0.000947022255942
theta,,002,-0.322735644914
theta,,002,0.0272512904333
theta,,002,-0.00590497008097
theta,,002,0.0109476624344
theta,,002,0.0723660036746
theta,,002,-0.0484070713181
theta,,002,0.000961844230219
theta,,002,-0.0144713090362
theta,,002,0.0423891599628
theta,,002,-0.00420329350158
theta,,002,0.228934975966
theta,,002,-0.0430319394362
theta,,002,-0.007510683894
theta,,002,0.0527324335656
theta,,002,0.00494304897377
theta,,002,-0.0246887740344
theta,,002,0.0903973187385
theta,,002,-0.000728066433652
theta,,002,-0.0338249443566
theta,,002,0.0284398085385
