clave, nom, eta, value
c,ANGOSTURA,001,112557.39
c,ANGOSTURA,002,112425.403903
c,ANGOSTURA,003,112293.687304
c,ANGOSTURA,004,112116.749251
c,ANGOSTURA,005,111967.006587
c,ANGOSTURA,006,111780.53317
c,ANGOSTURA,007,111609.286756
c,ANGOSTURA,008,111352.19291
c,ANGOSTURA,009,110795.021044
c,ANGOSTURA,010,110551.640813
c,ANGOSTURA,011,110627.098647
c,ANGOSTURA,012,110702.556481
c,ANGOSTURA,013,110778.014315
c,ANGOSTURA,014,110853.472148
c,ANGOSTURA,015,110928.929982
c,ANGOSTURA,016,111004.387816
c,ANGOSTURA,017,111079.84565
c,ANGOSTURA,018,111155.303484
c,ANGOSTURA,019,111230.761318
c,ANGOSTURA,020,111306.219152
c,ANGOSTURA,021,111381.676986
c,ANGOSTURA,022,111457.13482
c,ANGOSTURA,023,111532.592654
c,ANGOSTURA,024,111577.651504
c,ANGOSTURA,025,111653.109338
c,ANGOSTURA,026,111728.567172
c,ANGOSTURA,027,111653.061629
c,ANGOSTURA,028,111454.140081
c,ANGOSTURA,029,111296.117267
c,ANGOSTURA,030,111140.936754
c,ANGOSTURA,031,110936.522891
c,ANGOSTURA,032,110815.635726
c,ANGOSTURA,033,110688.622705
c,ANGOSTURA,034,110764.080539
c,ANGOSTURA,035,110839.538373
c,ANGOSTURA,036,110914.996207
c,ANGOSTURA,037,110990.454041
c,ANGOSTURA,038,111065.911875
c,ANGOSTURA,039,111141.369709
c,ANGOSTURA,040,111216.827543
c,ANGOSTURA,041,111292.285377
c,ANGOSTURA,042,111367.743211
c,ANGOSTURA,043,111443.201045
c,ANGOSTURA,044,111518.658879
c,ANGOSTURA,045,111594.116713
c,ANGOSTURA,046,111669.574547
c,ANGOSTURA,047,111745.032381
c,ANGOSTURA,048,111820.490215
c,ANGOSTURA,049,111685.199737
c,ANGOSTURA,050,111550.233342
c,ANGOSTURA,051,111306.92303
c,ANGOSTURA,052,111058.927176
c,ANGOSTURA,053,110836.879996
c,ANGOSTURA,054,110623.548556
c,ANGOSTURA,055,110418.193006
c,ANGOSTURA,056,110169.650751
c,ANGOSTURA,057,109985.412356
c,ANGOSTURA,058,109561.90569
c,ANGOSTURA,059,109573.356645
c,ANGOSTURA,060,109648.814479
c,ANGOSTURA,061,109724.272313
c,ANGOSTURA,062,109799.730146
c,ANGOSTURA,063,109875.18798
c,ANGOSTURA,064,109950.645814
c,ANGOSTURA,065,110026.103648
c,ANGOSTURA,066,110101.561482
c,ANGOSTURA,067,110177.019316
c,ANGOSTURA,068,110252.47715
c,ANGOSTURA,069,110327.934984
c,ANGOSTURA,070,110403.392818
c,ANGOSTURA,071,110478.850652
c,ANGOSTURA,072,110554.308486
c,ANGOSTURA,073,110440.196386
c,ANGOSTURA,074,110245.536352
c,ANGOSTURA,075,110046.673268
c,ANGOSTURA,076,109879.801728
c,ANGOSTURA,077,109731.607323
c,ANGOSTURA,078,109513.156912
c,ANGOSTURA,079,109376.879112
c,ANGOSTURA,080,109452.336946
c,ANGOSTURA,081,109527.79478
c,ANGOSTURA,082,109603.252614
c,ANGOSTURA,083,109678.710448
c,ANGOSTURA,084,109754.168282
c,ANGOSTURA,085,109829.626116
c,ANGOSTURA,086,109905.08395
c,ANGOSTURA,087,109980.541784
c,ANGOSTURA,088,110055.999618
c,ANGOSTURA,089,110131.457452
c,ANGOSTURA,090,110206.915286
c,ANGOSTURA,091,110282.37312
c,ANGOSTURA,092,110357.830954
c,ANGOSTURA,093,110433.288788
c,ANGOSTURA,094,110508.746622
c,ANGOSTURA,095,110584.204456
c,ANGOSTURA,096,110659.66229
c,ANGOSTURA,097,110735.120124
c,ANGOSTURA,098,110593.814297
c,ANGOSTURA,099,110456.141121
c,ANGOSTURA,100,110311.305619
c,ANGOSTURA,101,110165.215141
c,ANGOSTURA,102,110024.8135
c,ANGOSTURA,103,110100.271334
c,ANGOSTURA,104,110175.729168
c,ANGOSTURA,105,110251.187002
c,ANGOSTURA,106,110326.644836
c,ANGOSTURA,107,110402.10267
c,ANGOSTURA,108,110477.560504
c,ANGOSTURA,109,110553.018338
c,ANGOSTURA,110,110628.476172
c,ANGOSTURA,111,110703.934006
c,ANGOSTURA,112,110779.39184
c,ANGOSTURA,113,110854.849674
c,ANGOSTURA,114,110930.307508
c,ANGOSTURA,115,111005.765342
c,ANGOSTURA,116,111081.223176
c,ANGOSTURA,117,111156.681009
c,ANGOSTURA,118,111232.138843
c,ANGOSTURA,119,111307.596677
c,ANGOSTURA,120,111383.054511
c,ANGOSTURA,121,111458.512345
c,ANGOSTURA,122,111313.599821
c,ANGOSTURA,123,111156.605089
c,ANGOSTURA,124,111009.252099
c,ANGOSTURA,125,110862.299295
c,ANGOSTURA,126,110721.955421
c,ANGOSTURA,127,110797.413255
c,ANGOSTURA,128,110872.871089
c,ANGOSTURA,129,110948.328923
c,ANGOSTURA,130,111023.786757
c,ANGOSTURA,131,111099.244591
c,ANGOSTURA,132,111174.702425
c,ANGOSTURA,133,111250.160259
c,ANGOSTURA,134,111325.618093
c,ANGOSTURA,135,111401.075927
c,ANGOSTURA,136,111476.533761
c,ANGOSTURA,137,111551.991595
c,ANGOSTURA,138,111627.449429
c,ANGOSTURA,139,111702.907263
c,ANGOSTURA,140,111778.365097
c,ANGOSTURA,141,111853.822931
c,ANGOSTURA,142,111929.280765
c,ANGOSTURA,143,112004.738599
c,ANGOSTURA,144,112080.196433
c,ANGOSTURA,145,112125.144352
c,ANGOSTURA,146,112017.43661
c,ANGOSTURA,147,111796.04627
c,ANGOSTURA,148,111560.439782
c,ANGOSTURA,149,111334.241537
c,ANGOSTURA,150,111199.148988
c,ANGOSTURA,151,111274.606822
c,ANGOSTURA,152,111350.064656
c,ANGOSTURA,153,111425.52249
c,ANGOSTURA,154,111500.980324
c,ANGOSTURA,155,111576.438158
c,ANGOSTURA,156,111651.895992
c,ANGOSTURA,157,111727.353826
c,ANGOSTURA,158,111802.81166
c,ANGOSTURA,159,111878.269494
c,ANGOSTURA,160,111953.727328
c,ANGOSTURA,161,112029.185162
c,ANGOSTURA,162,112104.642996
c,ANGOSTURA,163,112180.10083
c,ANGOSTURA,164,112255.558664
c,ANGOSTURA,165,112331.016498
c,ANGOSTURA,166,112406.474332
c,ANGOSTURA,167,112481.932166
c,ANGOSTURA,168,112557.39
c,CANUTILLAR,001,116557.28
c,CANUTILLAR,002,116632.16
c,CANUTILLAR,003,116707.04
c,CANUTILLAR,004,116781.92
c,CANUTILLAR,005,116856.8
c,CANUTILLAR,006,116931.68
c,CANUTILLAR,007,117006.56
c,CANUTILLAR,008,117081.44
c,CANUTILLAR,009,117156.32
c,CANUTILLAR,010,117231.2
c,CANUTILLAR,011,117306.08
c,CANUTILLAR,012,117380.96
c,CANUTILLAR,013,117455.84
c,CANUTILLAR,014,117530.72
c,CANUTILLAR,015,117605.6
c,CANUTILLAR,016,117680.48
c,CANUTILLAR,017,117755.36
c,CANUTILLAR,018,117830.24
c,CANUTILLAR,019,117905.12
c,CANUTILLAR,020,117980.0
c,CANUTILLAR,021,118054.88
c,CANUTILLAR,022,118129.76
c,CANUTILLAR,023,118204.64
c,CANUTILLAR,024,118279.52
c,CANUTILLAR,025,118354.4
c,CANUTILLAR,026,118429.28
c,CANUTILLAR,027,118504.16
c,CANUTILLAR,028,118579.04
c,CANUTILLAR,029,118653.92
c,CANUTILLAR,030,118728.8
c,CANUTILLAR,031,118803.68
c,CANUTILLAR,032,118878.56
c,CANUTILLAR,033,118953.44
c,CANUTILLAR,034,119028.32
c,CANUTILLAR,035,119103.2
c,CANUTILLAR,036,119178.08
c,CANUTILLAR,037,119252.96
c,CANUTILLAR,038,119327.84
c,CANUTILLAR,039,119402.72
c,CANUTILLAR,040,119477.6
c,CANUTILLAR,041,119552.48
c,CANUTILLAR,042,119627.36
c,CANUTILLAR,043,119702.24
c,CANUTILLAR,044,119777.12
c,CANUTILLAR,045,119852.0
c,CANUTILLAR,046,119926.88
c,CANUTILLAR,047,120001.76
c,CANUTILLAR,048,120076.64
c,CANUTILLAR,049,120151.52
c,CANUTILLAR,050,120226.4
c,CANUTILLAR,051,120301.28
c,CANUTILLAR,052,120376.16
c,CANUTILLAR,053,120451.04
c,CANUTILLAR,054,120525.92
c,CANUTILLAR,055,120600.8
c,CANUTILLAR,056,120675.68
c,CANUTILLAR,057,120750.56
c,CANUTILLAR,058,120825.44
c,CANUTILLAR,059,120900.32
c,CANUTILLAR,060,120975.2
c,CANUTILLAR,061,121050.08
c,CANUTILLAR,062,121124.96
c,CANUTILLAR,063,121199.84
c,CANUTILLAR,064,121274.72
c,CANUTILLAR,065,121349.6
c,CANUTILLAR,066,121424.48
c,CANUTILLAR,067,121499.36
c,CANUTILLAR,068,121574.24
c,CANUTILLAR,069,121649.12
c,CANUTILLAR,070,121724.0
c,CANUTILLAR,071,121798.88
c,CANUTILLAR,072,121873.76
c,CANUTILLAR,073,121948.64
c,CANUTILLAR,074,122023.52
c,CANUTILLAR,075,122098.4
c,CANUTILLAR,076,122173.28
c,CANUTILLAR,077,122248.16
c,CANUTILLAR,078,122323.04
c,CANUTILLAR,079,122397.92
c,CANUTILLAR,080,122472.8
c,CANUTILLAR,081,122547.68
c,CANUTILLAR,082,122622.56
c,CANUTILLAR,083,122697.44
c,CANUTILLAR,084,122772.32
c,CANUTILLAR,085,122847.2
c,CANUTILLAR,086,122922.08
c,CANUTILLAR,087,122996.96
c,CANUTILLAR,088,123071.84
c,CANUTILLAR,089,123146.72
c,CANUTILLAR,090,123221.6
c,CANUTILLAR,091,123296.48
c,CANUTILLAR,092,123371.36
c,CANUTILLAR,093,123446.24
c,CANUTILLAR,094,123521.12
c,CANUTILLAR,095,123596.0
c,CANUTILLAR,096,123670.88
c,CANUTILLAR,097,123745.76
c,CANUTILLAR,098,123820.64
c,CANUTILLAR,099,123895.52
c,CANUTILLAR,100,123970.4
c,CANUTILLAR,101,124045.28
c,CANUTILLAR,102,124120.16
c,CANUTILLAR,103,124195.04
c,CANUTILLAR,104,124269.92
c,CANUTILLAR,105,124344.8
c,CANUTILLAR,106,124419.68
c,CANUTILLAR,107,124494.56
c,CANUTILLAR,108,124569.44
c,CANUTILLAR,109,124644.32
c,CANUTILLAR,110,124719.2
